,Código,Código de Especie,Especie,Nombre común,Altura (m),Circunferencia (m),DAP (m),D. de copa N-S (m),D. de copa E-O (m),Fecha,Latitud,Longitud,Dirección,Observaciones,ID Foto Tronco,ID Foto Hojas,ID Foto inflorescencia,ID Foto fruto,ID Foto copa,Sector,Tronco ID,Hojas ID,Flores ID,Fruto ID,Copa ID
21,A0022,PM,Calophyllum brasiliense,Palo María,13.6,0.78,0.2482817112,10.5,7.2,04/09/2021,"10° 29' 22,7'' N","66° 50' 48,2'' W","Sector 1, Área 1. Último árbol pegado a la cerca",Claveles de aire,A0022_tronco,A0022_hojas,,,A0022_copa,1,16l5UDG3699VZuVwwc4l4K1VQi6Rv0EbB,16hi-QuJUPFfPIL4QiJJFnl-dsKsLSBl3,,,16c04INixqUTyFkyBQmOr44fZIvx-K_f1
0,A0023,,,,,,,,,18/09/2021,"10 ° 29 ' 21.8794199999996 "" N","66 ° 50 ' 48.5255400000142 "" W",,,A0023_tronco,A0023_hojas,,,A0023_copa,2,1B8iwRnAAIjMyXj6VRG-7RkM721qHiqBw,1XKRiTJtag_48ERy24A1W0vyPDM5z_-kh,,,1tXao6qnKl6OAX2MAh5SDywR9vcUEtSC3
1,A0024,,,,,,,,,18/09/2021,"10 ° 29 ' 21.4927439999995 "" N","66 ° 50 ' 48.561576000003 "" W",,,A0024_tronco,A0024_hojas,,,A0024_copa,2,1diruyBbL7ebprH2Qjjbq2eFWQTyjm6oH,1q-PRlk6lac-1fervx3JAOJBypHk6DGLF,,,13KRWQ_1Dhz-ZwVt0f52IyWOH0Co8hNdR
2,A0025,,,,,,,,,18/09/2021,"10 ° 29 ' 22.1077680000027 "" N","66 ° 50 ' 48.3756720000201 "" W",,,A0025_tronco,A0025_hojas,,,A0025_copa,2,1nwPnNqTMico9ffQtBkE5lC4BYc-KJqa8,1bulbD4fYcBhHJztT99vvEMK0VD_qr4i6,,,1YGmv4QMcPJb_xBS6VtXjSPt4DQGLmfU4
3,A0026,,,,,,,,,18/09/2021,"10 ° 29 ' 21.5061719999979 "" N","66 ° 50 ' 48.4101600000088 "" W",,,A0026_tronco,A0026_hojas,,,A0026_copa,2,13O_HS_qFWcvLZmSnaPH1eLBoDgExOiyL,1pqaRG0SF9-lZk0r-U-WQ3X_Y_DHif_0J,,,16Db-pgXtKpS4MlXYTtBiGkAa1eE0FHOl
4,A0027,,,,,,,,,18/09/2021,"10 ° 29 ' 22.1049600000006 "" N","66 ° 50 ' 47.9817239999875 "" W",,,A0027_tronco,A0027_hojas,,,A0027_copa,2,1L6aDkrw7Q5ylrVXzlk96wR-HT8_hwjTN,102joOO3s_GPHfaBuI6sb4D1HkTjI47kq,,,1TDY8g-Vj8mmxcDnt4Sq0L-wiXw_tzW_6
5,A0028,,,,,,,,,18/09/2021,"10 ° 29 ' 21.8686200000013 "" N","66 ° 50 ' 47.894100000002 "" W",,,A0028_tronco,A0028_hojas,,,A0028_copa,2,182p3JQwfcz3Qafhaozg2YuoRzjod35HP,1SgZgA-9WN_l1_94dIbXDbGMQXyEDenWh,,,1AMo45byJAbamIYfbzPlnHV7AiRZp7Je5
6,A0029,,,,,,,,,18/09/2021,"10 ° 29 ' 22.0574039999987 "" N","66 ° 50 ' 47.8550039999902 "" W",,,A0029_tronco,A0029_hojas,,,A0029_copa,2,15BG6b_j4AkeyvM4LTKZHpfOxljK1dHi5,1Th35U9VO8eDfN7BUnIBLN-5TRmveHxUq,,,1152MMYBiV6-R34xdegQ0Shr_w1cTIsrM
7,A0030,,,,,,,,,18/09/2021,"10 ° 29 ' 22.0751159999998 "" N","66 ° 50 ' 47.678964000005 "" W",,,A0030_tronco,A0030_hojas,,,A0030_copa,2,1BQ-3e7NdMSLf830G6l2Ah-LhRbk3eu3d,1RuxDWyrzUx5e5g3GgxxYP11vPZdOYlVk,,,1CBoBCeD68e1mS0q1bD3XCernfW9xefUO
8,A0031,,,,,,,,,18/09/2021,"10 ° 29 ' 21.9995159999988 "" N","66 ° 50 ' 47.600591999992 "" W",,,A0031_tronco,A0031_hojas,,,A0031_copa,2,1F69ZUlmpXUMKAhmjWhvjEkX2G1qKx835,1qBZds0e6ICMc-Pas02hlKSR2DfGpRvxr,,,1FFQQbKnTPAybMenEtrvGo60VawLixz0w
